addressRegion,companyId,companyName,companyRepresentativeImage,endedAt,id,isBookmarked,isPartner,jobLevel,jobLevels,jobSkillKeywords,joinReward,partnerLogo,startedAt,status_code,status_name,title,url
GYEONGGI,80,주식회사 바텍,https://cdn.rallit.com/image/2022-02-25/d5Z2Z2NgMif9SVK7-GuBK.jpg,9999-12-31,215,False,False,IRRELEVANT,IRRELEVANT,"DevOps, Kubernetes, Kafka, Elasticsearch, Jenkins, Github, Docker, AWS",0,,1970-01-01,HIRING,모집 중,DevOps 개발자 모집 (재택근무/판교 오피스 근무 가능),https://www.rallit.com/positions/215
GANGNAM,987,센트비,https://cdn.rallit.com/image/2024-05-30/6fe41DVMtmkdxbaftqS3N.jpg,9999-12-31,3277,False,False,IRRELEVANT,"MIDDLE, SENIOR","Kotlin, Java, Spring Boot, spring-framework, JPA, Docker, Kubernetes, Git, GitHub, AWS",0,,1970-01-01,HIRING,모집 중,Backend Engineer (Java/Kotlin),https://www.rallit.com/positions/3277
MAPO,800,주식회사 사각,https://cdn.rallit.com/image/2025-04-30/E58mNu18tzpt3j3Fa6Ea1.png,9999-12-31,3449,False,False,IRRELEVANT,"MIDDLE, JUNIOR","React, Next.js, Android, iOS, TypeScript",0,,1970-01-01,HIRING,모집 중,소프트웨어 엔지니어(Frontend),https://www.rallit.com/positions/3449
GANGNAM,646,트릿지,https://cdn.rallit.com/image/2023-11-02/Sh63DHw_WuNjtvkRvV38W.jpg,2025-06-03,3444,False,False,IRRELEVANT,JUNIOR,"Python, SQL",0,,2025-05-09,HIRING,모집 중,Data Engineer,https://www.rallit.com/positions/3444
GANGNAM,322,주식회사 다이노즈,https://cdn.rallit.com/image/2025-03-12/BwGRZSB2nqTQnCC2gi2pg.png,9999-12-31,2315,False,False,JUNIOR,JUNIOR,"React, Next.js, TypeScript, HTML/CSS, Firebase, Git, GitHub, github-actions",0,,1970-01-01,HIRING,모집 중,React / Next.js 웹개발자 (경력 2년 이상),https://www.rallit.com/positions/2315
SEOUL,1120,빅테크플러스,https://cdn.rallit.com/image/2025-05-07/BE04MatAugbKjGNIgLPEt.jpg,9999-12-31,3479,False,False,IRRELEVANT,"JUNIOR, MIDDLE","devops, devsecops, backend",0,,1970-01-01,HIRING,모집 중,[빅테크플러스] 백엔드 (보안/인프라) 엔지니어,https://www.rallit.com/positions/3479
PANGYO,298,(주)모카시스템,https://cdn.rallit.com/image/2022-09-16/KGx3dABYhrCBma_QF0XiL.jpg,9999-12-31,769,False,False,MIDDLE,MIDDLE,"JavaScript, React",0,,1970-01-01,HIRING,모집 중,웹 프론트엔드 시니어 개발자 모집,https://www.rallit.com/positions/769
GANGNAM,1364,컬리,https://cdn.rallit.com/image/2025-05-21/dS2SrXoqUbZ5n2s3wre6_.jpg,2025-06-08,3520,False,False,IRRELEVANT,SENIOR,"HTML/CSS, ChatGPT, AWS",300,,2025-05-21,HIRING,모집 중,[컬리 10주년 테크 대규모채용] 커머스 프론트엔드 개발,https://www.rallit.com/positions/3520
GYEONGGI,1371,균형과매듭(주),https://image.rivers.co.kr/files/2025-05-30/1748568076228/company-represent-image-1748568076008.png,9999-12-31,3545,False,True,JUNIOR,JUNIOR,"Solidity, React, Next.js, Flutter",0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,"스마트 컨트랙트 개발자 (신입, 경력 3년이상)",https://www.rallit.com/positions/3545
SEOUL,83,씨드앤,https://cdn.rallit.com/image/2023-06-26/Zqs-F96vrk9lp9-i-r-al.jpg,2025-06-09,3486,False,False,IRRELEVANT,MIDDLE,"Java, Kafka, AWS, Azure, Linux, Kubernetes",0,,2025-05-19,HIRING,모집 중,데브옵스(DevOps) 엔지니어 (5년 이상),https://www.rallit.com/positions/3486
